1.33,64236.62,1036.74,54454.85,48.16,8696.87,8603.62,93.25,0.0,conventional,Albany,1451174400,December
1.12,84843.44,924.86,75595.85,117.07,8205.66,7877.86,327.8,0.0,conventional,Albany,1445126400,October
1.12,111140.93,584.63,100961.46,368.95,9225.89,9116.34,109.55,0.0,conventional,Albany,1439078400,August
1.23,95123.62,922.37,70469.69,50.55,23681.01,23222.49,458.52,0.0,conventional,Albany,1433030400,May
1.12,46346.85,2141.83,34313.56,141.8,9749.66,9252.6,497.06,0.0,conventional,Albany,1426982400,March
1.24,41195.08,1002.85,31640.34,127.12,8424.77,8036.04,388.73,0.0,conventional,Albany,1420934400,January
0.99,419088.74,290457.5,62980.07,252.79,65398.38,39460.77,25929.39,8.22,conventional,Atlanta,1446336000,November
1.12,379054.29,274462.42,46223.69,950.09,57418.09,45534.11,11883.98,0.0,conventional,Atlanta,1440288000,August
1.1,465804.78,386370.5,17701.12,471.72,61261.44,48612.13,12578.28,71.03,conventional,Atlanta,1434240000,June
1.04,383139.49,318473.47,19254.39,374.51,45037.12,28612.48,16289.92,134.72,conventional,Atlanta,1428192000,April
1.1,449332.85,393408.17,18718.27,594.25,36612.16,13176.39,23435.77,0.0,conventional,Atlanta,1422144000,January
1.04,718330.48,47109.75,503470.08,37990.29,129760.36,125297.67,4462.69,0.0,conventional,BaltimoreWashington,1447545600,November
1.18,823623.36,63903.73,522568.44,68180.35,168970.84,165696.58,3268.72,5.54,conventional,BaltimoreWashington,1441497600,September
1.15,862261.64,65051.95,534535.21,51109.85,211564.63,207378.09,4022.51,164.03,conventional,BaltimoreWashington,1435449600,June
1.28,762862.62,67486.78,427623.27,42125.28,225627.29,219885.88,5741.41,0.0,conventional,BaltimoreWashington,1429401600,April
1.09,844931.21,71703.52,554857.41,37437.32,180932.96,175771.39,5161.57,0.0,conventional,BaltimoreWashington,1423353600,February
1.06,49069.13,24189.98,2789.67,6031.49,16057.99,15860.63,0.0,197.36,conventional,Boise,1448755200,November
1.03,73952.9,34826.9,21592.13,6640.07,10893.8,10601.02,273.41,19.37,conventional,Boise,1442707200,September
1.05,74677.72,51828.75,5802.65,7474.4,9571.92,8335.04,1236.88,0.0,conventional,Boise,1436659200,July
1.0,85466.99,66880.12,7942.34,4289.72,6354.81,6349.93,0.0,4.88,conventional,Boise,1430611200,May
